,league_id,date,saison,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1806,1729,2008-12-07 00:00:00,2008/2009,8659,8462,1,1
1807,1729,2008-12-06 00:00:00,2008/2009,8667,8549,2,1
1808,1729,2008-12-13 00:00:00,2008/2009,8650,8667,2,2
1809,1729,2008-12-13 00:00:00,2008/2009,8472,8659,4,0
1810,1729,2008-12-13 00:00:00,2008/2009,8586,10260,0,0
1811,1729,2008-12-13 00:00:00,2008/2009,10252,8559,4,2
1812,1729,2008-12-13 00:00:00,2008/2009,8549,9825,1,1
1813,1729,2008-12-13 00:00:00,2008/2009,8456,8668,0,1
1814,1729,2008-12-14 00:00:00,2008/2009,8462,10261,0,3
1815,1729,2008-12-13 00:00:00,2008/2009,10194,9879,0,0
1816,1729,2008-12-13 00:00:00,2008/2009,8528,8655,3,0
1817,1729,2008-12-14 00:00:00,2008/2009,8455,8654,1,1
1818,1729,2009-01-14 00:00:00,2008/2009,10260,8528,1,0
1819,1729,2008-12-21 00:00:00,2008/2009,9825,8650,1,1
1820,1729,2008-12-20 00:00:00,2008/2009,8654,10252,0,1
1821,1729,2008-12-22 00:00:00,2008/2009,8668,8455,0,0
1822,1729,2008-12-21 00:00:00,2008/2009,10261,8586,2,1
1823,1729,2008-12-20 00:00:00,2008/2009,8655,10194,3,0
1824,1729,2008-12-20 00:00:00,2008/2009,9879,8549,3,0
1825,1729,2008-12-20 00:00:00,2008/2009,8559,8462,2,1
1826,1729,2008-12-21 00:00:00,2008/2009,8659,8456,2,1
1827,1729,2008-12-20 00:00:00,2008/2009,8667,8472,1,4
1828,1729,2008-12-26 00:00:00,2008/2009,8650,8559,3,0
1829,1729,2008-12-26 00:00:00,2008/2009,8472,8655,0,0
1830,1729,2008-12-26 00:00:00,2008/2009,8586,9879,0,0
1831,1729,2008-12-26 00:00:00,2008/2009,10252,9825,2,2
1832,1729,2008-12-26 00:00:00,2008/2009,8549,8668,0,1
1833,1729,2008-12-26 00:00:00,2008/2009,8456,8667,5,1
1834,1729,2008-12-26 00:00:00,2008/2009,8462,8654,1,4
1835,1729,2008-12-26 00:00:00,2008/2009,10194,10260,0,1
1836,1729,2008-12-26 00:00:00,2008/2009,8528,10261,2,1
1837,1729,2008-12-26 00:00:00,2008/2009,8455,8659,2,0
1838,1729,2008-08-23 00:00:00,2008/2009,8650,8549,2,1
1839,1729,2008-08-23 00:00:00,2008/2009,8586,8472,1,2
1840,1729,2008-08-23 00:00:00,2008/2009,10261,8559,1,0
1841,1729,2008-08-24 00:00:00,2008/2009,8456,8654,3,0
1842,1729,2008-08-23 00:00:00,2008/2009,8655,8667,1,1
1843,1729,2008-08-23 00:00:00,2008/2009,9879,9825,1,0
1844,1729,2008-08-23 00:00:00,2008/2009,8659,8668,1,2
1845,1729,2008-08-25 00:00:00,2008/2009,8462,10260,0,1
1846,1729,2008-08-23 00:00:00,2008/2009,10194,10252,3,2
1847,1729,2008-08-24 00:00:00,2008/2009,8528,8455,0,1
1848,1729,2008-12-29 00:00:00,2008/2009,10260,8549,1,0
1849,1729,2008-12-28 00:00:00,2008/2009,9825,8462,1,0
1850,1729,2008-12-28 00:00:00,2008/2009,8654,10194,2,1
1851,1729,2008-12-28 00:00:00,2008/2009,8668,8472,3,0
1852,1729,2008-12-28 00:00:00,2008/2009,10261,8650,1,5
1853,1729,2008-12-28 00:00:00,2008/2009,8655,8456,2,2
1854,1729,2008-12-28 00:00:00,2008/2009,9879,8455,2,2
1855,1729,2008-12-28 00:00:00,2008/2009,8559,8528,0,1
1856,1729,2008-12-28 00:00:00,2008/2009,8659,8586,2,0
1857,1729,2008-12-30 00:00:00,2008/2009,8667,10252,0,1
1858,1729,2009-01-11 00:00:00,2008/2009,10260,8455,3,0
1859,1729,2009-01-10 00:00:00,2008/2009,9825,8559,1,0
